start
| epoch   2 |   200/17578 batches | lr 2.00000 | ms/batch 409.25 | loss 0.005 | bpc 0.008
| epoch   2 |   300/17578 batches | lr 2.00000 | ms/batch 410.16 | loss 0.006 | bpc 0.009
| epoch   2 |   400/17578 batches | lr 2.00000 | ms/batch 409.31 | loss 0.006 | bpc 0.008
| epoch   2 |   500/17578 batches | lr 2.00000 | ms/batch 409.32 | loss 0.006 | bpc 0.008
| epoch   2 |   600/17578 batches | lr 2.00000 | ms/batch 408.45 | loss 0.006 | bpc 0.009
| epoch   2 |   700/17578 batches | lr 2.00000 | ms/batch 409.09 | loss 0.006 | bpc 0.008
| epoch   2 |   800/17578 batches | lr 2.00000 | ms/batch 409.53 | loss 0.006 | bpc 0.008
| epoch   2 |   900/17578 batches | lr 2.00000 | ms/batch 407.77 | loss 0.005 | bpc 0.008
| epoch   2 |  1000/17578 batches | lr 2.00000 | ms/batch 407.37 | loss 0.006 | bpc 0.008
| epoch   2 |  1100/17578 batches | lr 2.00000 | ms/batch 410.20 | loss 0.006 | bpc 0.008
| epoch   2 |  1200/17578 batches | lr 2.00000 | ms/batch 407.20 | loss 0.005 | bpc 0.008
| epoch   2 |  1300/17578 batches | lr 2.00000 | ms/batch 409.44 | loss 0.006 | bpc 0.008
| epoch   2 |  1400/17578 batches | lr 2.00000 | ms/batch 409.22 | loss 0.006 | bpc 0.008
| epoch   2 |  1500/17578 batches | lr 2.00000 | ms/batch 408.18 | loss 0.006 | bpc 0.008
| epoch   2 |  1600/17578 batches | lr 2.00000 | ms/batch 409.02 | loss 0.005 | bpc 0.008
| epoch   2 |  1700/17578 batches | lr 2.00000 | ms/batch 408.89 | loss 0.006 | bpc 0.008
| epoch   2 |  1800/17578 batches | lr 2.00000 | ms/batch 408.47 | loss 0.006 | bpc 0.008
| epoch   2 |  1900/17578 batches | lr 2.00000 | ms/batch 407.82 | loss 0.006 | bpc 0.008
| epoch   2 |  2000/17578 batches | lr 2.00000 | ms/batch 409.19 | loss 0.006 | bpc 0.008
| epoch   2 |  2100/17578 batches | lr 2.00000 | ms/batch 409.57 | loss 0.006 | bpc 0.008
| epoch   2 |  2200/17578 batches | lr 2.00000 | ms/batch 409.76 | loss 0.006 | bpc 0.008
| epoch   2 |  2300/17578 batches | lr 2.00000 | ms/batch 407.73 | loss 0.005 | bpc 0.008
| epoch   2 |  2400/17578 batches | lr 2.00000 | ms/batch 409.69 | loss 0.006 | bpc 0.008
| epoch   2 |  2500/17578 batches | lr 2.00000 | ms/batch 409.51 | loss 0.006 | bpc 0.008
| epoch   2 |  2600/17578 batches | lr 2.00000 | ms/batch 408.38 | loss 0.006 | bpc 0.008
| epoch   2 |  2700/17578 batches | lr 2.00000 | ms/batch 408.55 | loss 0.005 | bpc 0.008
